	Nose (846 polys, 2538 verts) '1-shiny'
		DAM_LeftWing (48 polys, 144 verts) '3-shiny'
			DAM_LeftWing_inside (48 polys, 144 verts) 'smudge'
				DAM_left_spar (12 polys, 36 verts) 'smudge'
					DAM_spars_wing_left_inner (62 polys, 186 verts) 'smudge'
		DAM_RightWing (51 polys, 153 verts) '4-shiny'
			DAM_RightWing_inside (51 polys, 153 verts) 'smudge'
				DAM_right_spar (12 polys, 36 verts) 'smudge'
					DAM_spars_wing_right_inner (62 polys, 186 verts) 'smudge'
					DAM_spars_wing_right_inner01 (62 polys, 186 verts) 'smudge'
		Cockpit (84 polys, 252 verts) '5-dull'
			Gunsight (30 polys, 90 verts) '5-dull'
				Gunsight_Glass (10 polys, 30 verts) 'Material #6'
			mirror (36 polys, 108 verts) '5-dull'
				mirror_shiny (12 polys, 36 verts) '5-shiny'
			Windscreen_Frame (128 polys, 384 verts) '5-dull'
			canopy_frame_interiorN (108 polys, 324 verts) '5-dull'
			ejection_seat01 (64 polys, 192 verts) '5-dull'
				Ejection_Seat (100 polys, 300 verts) '5-dull'
			Canopy_Interior_Widgets (273 polys, 819 verts) '5-dull'
		nose_gear_door2 (2 polys, 6 verts) '1-shiny'
			nose_gear_door2_inside (10 polys, 30 verts) '2-dull'
				nose_gear_door3 (2 polys, 6 verts) '1-shiny'
					nose_gear_door3_inside (10 polys, 30 verts) '2-dull'
		NoseGearStrut (108 polys, 324 verts) '4-dull'
			nose_gear_clevis (76 polys, 228 verts) '4-dull'
			nose_gear_piston (16 polys, 48 verts) '4-shiny'
				nose_gear_fork (132 polys, 396 verts) '4-dull'
					Nose_Tire (92 polys, 276 verts) '2-dull'
					nose_gear_fork_ring (34 polys, 102 verts) '4-dull'
						nose_gear_hinge2 (72 polys, 216 verts) '4-dull'
			nose_gear_hinge1 (68 polys, 204 verts) '4-dull'
		nose_gear_door1 (9 polys, 27 verts) '1-shiny'
			nose_gear_door1_inside (27 polys, 81 verts) '2-dull'
		tacan_antenna (7 polys, 21 verts) '1-shiny'
		L_main_well (79 polys, 237 verts) '3-dull'
		R_main_well (79 polys, 237 verts) '3-dull'
		Nose_Well (29 polys, 87 verts) '3-dull'
		canopy_glass (112 polys, 336 verts) 'Material #6'
		windscreen_glass (25 polys, 75 verts) 'Material #6'
		canopy_frame (88 polys, 264 verts) '1-shiny'
		intake_port (52 polys, 156 verts) '1-dull'
		L_main_gear_door1 (4 polys, 12 verts) '3-shiny'
			L_main_gear_door1_inside (16 polys, 48 verts) '2-dull'
		R_main_gear_door1 (6 polys, 18 verts) '4-shiny'
			R_main_gear_door1_inside (16 polys, 48 verts) '2-dull'
		RightWing (48 polys, 144 verts) '4-shiny'
			RightFlap (12 polys, 36 verts) '4-shiny'
			R_main_gear_door2 (7 polys, 21 verts) '4-shiny'
				R_main_gear_door2_inside (25 polys, 75 verts) '2-dull'
			RightMainGearStrut (30 polys, 90 verts) '4-dull'
				R_gear_piston (16 polys, 48 verts) '4-shiny'
					R_gear_piston_base (40 polys, 120 verts) '4-dull'
						Right_Tire (144 polys, 432 verts) '2-dull'
						R_gear_hinge2 (72 polys, 216 verts) '4-dull'
				R_gear_hinge1 (72 polys, 216 verts) '4-dull'
			DAM_RightOuterWing (31 polys, 93 verts) '4-shiny'
				DAM_RightOuterWing_inside (31 polys, 93 verts) 'smudge'
					DAM_right_outside_spar (9 polys, 27 verts) 'smudge'
						DAM_spars_wing_right_outer (60 polys, 180 verts) 'smudge'
			right_pylon (49 polys, 147 verts) '5-shiny'
			RightOuterWing (70 polys, 210 verts) '4-shiny'
				right_light_frame (12 polys, 36 verts) '3-shiny'
					wing_lights_green (16 polys, 48 verts) 'Material #18'
				Pitot_Tube (72 polys, 216 verts) '4-dull'
				Right_Aileron (22 polys, 66 verts) '4-shiny'
				RightSlat (19 polys, 57 verts) '4-shiny'
					RightSlatInside (14 polys, 42 verts) '4-shiny'
			HvarRin (64 polys, 192 verts) '5-dull'
