	Fuselage (146 polys, 438 verts) 'fuselage'
		Canopy (56 polys, 168 verts) 'fuselage'
			vitrecanopy (74 polys, 222 verts) 'vitre'
			Canopy01 (168 polys, 504 verts) 'fuselage'
				Mirroir1 (16 polys, 48 verts) 'fuselage-shine'
				Mirroir02 (16 polys, 48 verts) 'fuselage-shine'
				Mirroir03 (16 polys, 48 verts) 'fuselage-shine'
		interieur (68 polys, 204 verts) 'fuselage-Mat'
			stike (33 polys, 99 verts) 'fuselage-Mat'
			tete (23 polys, 69 verts) 'fuselage-Mat'
			WILDSEAT (21 polys, 63 verts) 'fuselage-Mat'
			viseur (12 polys, 36 verts) 'fuselage-Mat'
				HUD (12 polys, 36 verts) 'vitre_hud'
			boitecarte (6 polys, 18 verts) 'fuselage-Mat'
		LeftStab (62 polys, 186 verts) 'LeftWing'
			LeftElevator (36 polys, 108 verts) 'LeftWing'
		RightStab (62 polys, 186 verts) 'Rightwing'
			RightElevator (36 polys, 108 verts) 'Rightwing'
		Tail (64 polys, 192 verts) 'enginetail'
			Rudder (72 polys, 216 verts) 'enginetail'
			antenne01 (8 polys, 24 verts) '13 - Par défaut'
			antenne05 (8 polys, 24 verts) '13 - Par défaut'
		RightRearTR (22 polys, 66 verts) 'fuselage'
		RearPiston (2 polys, 6 verts) 'enginetail'
			TailGearStrut (32 polys, 96 verts) 'enginetail-Mat'
				RearPiston1 (10 polys, 30 verts) 'enginetail-Mat'
					rearpivot (40 polys, 120 verts) 'enginetail-Mat'
						RearTire (114 polys, 342 verts) 'enginetail-Mat'
					rear_piston1 (24 polys, 72 verts) 'enginetail-Mat'
					rearpiston2 (24 polys, 72 verts) 'enginetail-Mat'
				supporthook (14 polys, 42 verts) 'enginetail-Mat'
					tailhook (64 polys, 192 verts) 'enginetail-Mat'
		LeftRearTR (22 polys, 66 verts) 'fuselage'
		supp_engine (56 polys, 168 verts) 'fuselage-Mat'
			oil_tank (18 polys, 54 verts) 'fuselage-Mat'
		LeftStab_damaged (54 polys, 162 verts) 'LeftWing'
		RightStab_damaged (54 polys, 162 verts) 'Rightwing'
		FrontCanopy (48 polys, 144 verts) 'fuselage'
			vitreav (18 polys, 54 verts) 'vitre'
			Frontint (136 polys, 408 verts) 'fuselage'
		Leftwing (465 polys, 1395 verts) 'LeftWing'
			LeftBay (93 polys, 279 verts) 'LeftWing-Mat'
				LeftMainGearStruct (68 polys, 204 verts) 'Rightwing-Mat'
					LeftMainStruct_low (40 polys, 120 verts) 'Rightwing-Mat'
						LeftMainGearActuator (12 polys, 36 verts) 'LeftWing-shine'
							LeftSupp (96 polys, 288 verts) 'LeftWing-Mat'
								gear_clip_bottom_Left (20 polys, 60 verts) 'Rightwing-Mat'
								LeftMainGear (214 polys, 642 verts) 'LeftWing-Mat'
						gear_clip_top_Left (20 polys, 60 verts) 'Rightwing-Mat'
					renvoiA (24 polys, 72 verts) 'LeftWing-Mat'
						renvoiB (24 polys, 72 verts) 'LeftWing-Mat'
						renvoiC (24 polys, 72 verts) 'LeftWing-Mat'
					Cylindre03 (44 polys, 132 verts) 'Rightwing-Mat'
						Cylindre02 (16 polys, 48 verts) 'Rightwing-shine'
			LeftRadia (94 polys, 282 verts) 'LeftWing-Mat'
			LeftFlap (22 polys, 66 verts) 'LeftWing'
				inside_LeftFlap (32 polys, 96 verts) 'LeftWing-Mat'
			LeftInnerFlap (16 polys, 48 verts) 'LeftWing'
				Boîte05 (4 polys, 12 verts) 'LeftWing-Mat'
				inside_leftinnerFlap (30 polys, 90 verts) 'LeftWing-Mat'
			LeftTR1 (11 polys, 33 verts) 'LeftWing'
				inside_LeftTR1 (23 polys, 69 verts) 'LeftWing-Mat'
			LeftTR2 (9 polys, 27 verts) 'LeftWing'
				inside_LeftTR2 (27 polys, 81 verts) 'LeftWing-Mat'
			LeftTrappe (26 polys, 78 verts) 'LeftWing'
				inside_LeftTrappe (48 polys, 144 verts) 'LeftWing-Mat'
			pylone02 (22 polys, 66 verts) 'LeftWing'
				attache01 (20 polys, 60 verts) 'LeftWing'
				attache02 (20 polys, 60 verts) 'LeftWing'
			inside_leftwing (106 polys, 318 verts) 'LeftWing-Mat'
				Boîte03 (27 polys, 81 verts) 'enginetail-Mat'
					Cylindre08 (8 polys, 24 verts) 'enginetail-Mat'
					Cylindre09 (8 polys, 24 verts) 'enginetail-Mat'
					Objet05 (36 polys, 108 verts) 'enginetail-Mat'
						Cylindre01 (8 polys, 24 verts) 'enginetail-Mat'
				Boîte09 (26 polys, 78 verts) 'enginetail-Mat'
			Boîte10 (26 polys, 78 verts) 'enginetail-Mat'
			LeftOuterWing_damaged (37 polys, 111 verts) 'LeftWing'
				Boîte01 (8 polys, 24 verts) '12 - Par défaut'
					Objet01 (28 polys, 84 verts) '12 - Par défaut'
					Objet02 (28 polys, 84 verts) '12 - Par défaut'
					Objet03 (28 polys, 84 verts) '12 - Par défaut'
				Boîte02 (8 polys, 24 verts) '12 - Par défaut'
				inside_LeftouterdamagedWing (73 polys, 219 verts) 'LeftWing-Mat'
			LeftOuterWing (140 polys, 420 verts) 'LeftWing'
				LeftCacheFeux (22 polys, 66 verts) 'vitre'
				inside_leftfeux (17 polys, 51 verts) 'LeftWing-Mat'
					FeuxLeft (32 polys, 96 verts) 'LeftWing-Mat'
				inside_leftouterwing (73 polys, 219 verts) 'LeftWing-Mat'
					Cylindre19 (10 polys, 30 verts) 'enginetail-Mat'
					Left_Pivot (36 polys, 108 verts) 'enginetail-Mat'
				Left_Guns (120 polys, 360 verts) 'LeftWing'
					Objet04 (88 polys, 264 verts) 'LeftWing-Mat'
						Objet06 (56 polys, 168 verts) 'LeftWing-Mat'
						Objet24 (88 polys, 264 verts) 'LeftWing-Mat'
				LeftAileron (42 polys, 126 verts) 'LeftWing'
				LeftOuterFlap (12 polys, 36 verts) 'LeftWing'
					inside_leftouterflap (22 polys, 66 verts) 'LeftWing-Mat'
				Objet15 (36 polys, 108 verts) 'enginetail-Mat'
				pitot (33 polys, 99 verts) 'LeftWing'
				Left_Pyl (6 polys, 18 verts) 'Rightwing'
					OuterPyl02 (88 polys, 264 verts) 'Rightwing'
		Objet09 (16 polys, 48 verts) 'fuselage-Mat'
		RearBay (20 polys, 60 verts) 'fuselage-Mat'
		Rightwing (465 polys, 1395 verts) 'Rightwing'
			RightBay (93 polys, 279 verts) 'Rightwing-Mat'
				RightMainGearStruct (68 polys, 204 verts) 'Rightwing-Mat'
					RightMainStruct_low (40 polys, 120 verts) 'Rightwing-Mat'
						RightMainGearActuator (12 polys, 36 verts) 'LeftWing-shine'
							RightSupp (96 polys, 288 verts) 'LeftWing-Mat'
								RightMainGear (214 polys, 642 verts) 'LeftWing-Mat'
								gear_clip_bottom_Left01 (20 polys, 60 verts) 'Rightwing-Mat'
						gear_clip_top_Left01 (20 polys, 60 verts) 'Rightwing-Mat'
					Cylindre15 (44 polys, 132 verts) 'Rightwing-Mat'
						Cylindre16 (16 polys, 48 verts) 'Rightwing-shine'
					renvoiA02 (24 polys, 72 verts) 'LeftWing-Mat'
						renvoiB02 (24 polys, 72 verts) 'LeftWing-Mat'
						renvoiC02 (24 polys, 72 verts) 'LeftWing-Mat'
			RightFlap (22 polys, 66 verts) 'Rightwing'
				inside_RightFlap (32 polys, 96 verts) 'Rightwing-Mat'
			RightInnerFlap (16 polys, 48 verts) 'Rightwing'
				Boîte06 (4 polys, 12 verts) 'Rightwing-Mat'
				inside_rightinnerFlap (30 polys, 90 verts) 'Rightwing-Mat'
			RightRadia (94 polys, 282 verts) 'Rightwing-Mat'
			RightTR02 (11 polys, 33 verts) 'Rightwing'
				inside_RightTR02 (23 polys, 69 verts) 'Rightwing-Mat'
			RightTR03 (9 polys, 27 verts) 'Rightwing'
				inside_RightTR03 (27 polys, 81 verts) 'Rightwing-Mat'
			RightTrappe (26 polys, 78 verts) 'Rightwing'
				inside_RightTrappe (48 polys, 144 verts) 'Rightwing-Mat'
			pylone01 (22 polys, 66 verts) 'Rightwing'
				attache03 (20 polys, 60 verts) 'Rightwing'
